label,contour_area,perimeter,texture_0,texture_1,texture_2,texture_3,texture_4,texture_5,texture_6,texture_7,texture_8,vein_structure,size,hue,saturation,value
300px-Tereler,22.0,21.656854152679443,0,93,0,1947,0,3509,0,2072,42555,149.8714524872449,50176,0.0,0.0,125.64502949617346
Aashaalim  (1),6.5,11.41421353816986,2,35,0,1479,0,3041,0,1662,43957,118.95697146045919,50176,0.0,0.0,141.88745615433675
Aashaalim  (24),0.0,2.0,1,48,0,1137,0,2199,0,1287,45504,85.0440449617347,50176,0.0,0.0,74.78834502551021
Aashaalim  (25),6.0,10.828427076339722,0,82,0,1568,0,3078,0,1546,43902,120.00896843112245,50176,0.0,0.0,81.7203443877551
Aashaalim  (26),49729.0,892.0,0,19,0,296,0,1461,0,297,48103,25.385144292091837,50176,0.0,0.0,136.0481106505102
Aashaalim  (27),3.0,8.0,4,111,0,2151,0,3828,0,2305,41777,153.57631138392858,50176,0.0,0.0,112.54334741709184
Aashaalim  (28),1.5,7.414213538169861,0,94,0,1570,0,3317,0,1611,43584,129.04496173469389,50176,0.0,0.0,91.85407366071429
Aashaalim  (29),0.0,0.0,2,60,0,745,0,1539,0,722,47108,59.125279017857146,50176,0.0,0.0,41.52084661989796
Aashaalim  (30),5.0,15.656854152679443,0,136,0,2294,0,4224,0,2532,40990,163.09002311862244,50176,0.0,0.0,116.40066964285714
Aashaalim  (31),0.0,4.0,0,42,0,757,0,1426,0,730,47221,58.56624681122449,50176,0.0,0.0,53.077566964285715
Aashaalim  (32),1.0,4.828427076339722,1,121,0,2074,0,4696,0,2751,40533,159.97468909438774,50176,0.0,0.0,150.92344945790816
Aashaalim  (33),0.0,4.0,0,58,0,1151,0,2188,0,1237,45542,82.43183992346938,50176,0.0,0.0,116.11607142857143
Aashaalim  (34),32.0,30.97056245803833,0,15,0,181,0,577,0,178,49225,14.031708386479592,50176,0.0,0.0,29.801498724489797
Aashaalim  (35),3.5,9.41421353816986,0,40,0,1178,0,2189,0,1191,45578,92.33687420280613,50176,0.0,0.0,98.20671237244898
Aashaalim  (36),271.0,116.22539556026459,0,25,0,826,0,1699,0,802,46824,65.79809072066327,50176,0.0,0.0,73.7109375
Aashaalim  (37),2.5,7.414213538169861,0,29,0,1273,0,2500,0,1411,44963,98.79623724489795,50176,0.0,0.0,149.4953762755102
